  1, 10000
  2, 14237
  3, 17526
  4, 19544
  5, 21374
  6, 22876
  7, 23826
  8, 24948
  9, 26080
 10, 27442
 11, 28788
 12, 29982
 13, 31416
 14, 33143
 15, 34518
 16, 35959
 17, 37516
 18, 39415
 19, 41454
 20, 43795
 21, 45876
 22, 48003
 23, 50197
 24, 52878
 25, 55576
 26, 57964
 27, 61194
 28, 64270
 29, 66977
 30, 69529
 31, 73511
 32, 77152
 33, 80854
 34, 83843
 35, 87553
 36, 92108
 37, 96763
 38,101130
 39,105847
 40,111046
 41,116935
 42,121860
 43,128531
 44,135286
 45,141572
 46,148127
 47,154923
 48,162863
 49,170605
 50,177943
