  1, 10000
  2, 12879
  3, 14052
  4, 14080
  5, 13490
  6, 12722
  7, 12111
  8, 11273
  9, 10420
 10,  9907
 11,  9321
 12,  8768
 13,  8457
 14,  7865
 15,  7534
 16,  7107
 17,  6528
 18,  6085
 19,  5649
 20,  5234
 21,  4956
 22,  4814
 23,  4568
 24,  4207
 25,  4055
 26,  3853
 27,  3730
 28,  3539
 29,  3303
 30,  3149
 31,  2949
 32,  2763
 33,  2618
 34,  2347
 35,  2227
 36,  2083
 37,  1984
 38,  1861
 39,  1641
 40,  1483
 41,  1341
 42,  1228
 43,  1201
 44,  1204
 45,  1165
 46,  1015
 47,   924
 48,   807
 49,   703
 50,   665
