  1, 10000
  2, 13666
  3, 15972
  4, 17064
  5, 17723
  6, 18177
  7, 18419
  8, 18584
  9, 18867
 10, 19237
 11, 19307
 12, 19546
 13, 19765
 14, 19768
 15, 20219
 16, 20486
 17, 20531
 18, 20908
 19, 20963
 20, 20950
 21, 20959
 22, 21317
 23, 21698
 24, 21727
 25, 21964
 26, 22051
 27, 22195
 28, 22000
 29, 22075
 30, 22184
 31, 22238
 32, 22388
 33, 22564
 34, 22473
 35, 22399
 36, 22539
 37, 22323
 38, 22195
 39, 22397
 40, 22542
 41, 22624
 42, 22656
 43, 22868
 44, 22754
 45, 22790
 46, 22841
 47, 23253
 48, 23153
 49, 23374
 50, 23541
