  1, 10000
  2, 13517
  3, 15890
  4, 16984
  5, 17552
  6, 17937
  7, 18132
  8, 18137
  9, 18389
 10, 18423
 11, 18300
 12, 18498
 13, 18310
 14, 18462
 15, 18690
 16, 18836
 17, 18932
 18, 19071
 19, 19070
 20, 19189
 21, 19067
 22, 19182
 23, 18935
 24, 19011
 25, 18558
 26, 18421
 27, 18313
 28, 18431
 29, 18207
 30, 18337
 31, 18256
 32, 18392
 33, 18059
 34, 18080
 35, 18165
 36, 18371
 37, 17885
 38, 17645
 39, 17526
 40, 17742
 41, 17564
 42, 17551
 43, 17664
 44, 17664
 45, 17721
 46, 17458
 47, 17436
 48, 17366
 49, 17323
 50, 17513
