  1, 10000
  2, 13521
  3, 15613
  4, 16368
  5, 16690
  6, 16539
  7, 16559
  8, 16516
  9, 16685
 10, 16540
 11, 16457
 12, 16166
 13, 16160
 14, 15939
 15, 15551
 16, 15293
 17, 15316
 18, 15265
 19, 15406
 20, 14972
 21, 14743
 22, 14835
 23, 14775
 24, 14715
 25, 14513
 26, 14573
 27, 14404
 28, 14425
 29, 14073
 30, 14361
 31, 14077
 32, 14078
 33, 14031
 34, 13848
 35, 13613
 36, 13518
 37, 13313
 38, 13220
 39, 13042
 40, 12712
 41, 12472
 42, 12471
 43, 12371
 44, 12468
 45, 12302
 46, 12295
 47, 12229
 48, 12206
 49, 12230
 50, 12282
