  1, 10000
  2, 13690
  3, 15965
  4, 16801
  5, 17483
  6, 17746
  7, 17872
  8, 17851
  9, 17977
 10, 18150
 11, 18122
 12, 18009
 13, 18003
 14, 18021
 15, 17871
 16, 18195
 17, 18263
 18, 18157
 19, 18441
 20, 18340
 21, 18295
 22, 18246
 23, 18395
 24, 18437
 25, 18292
 26, 18036
 27, 17949
 28, 17764
 29, 17764
 30, 17760
 31, 17788
 32, 17651
 33, 17890
 34, 17776
 35, 17876
 36, 18091
 37, 18248
 38, 18361
 39, 18391
 40, 18651
 41, 18847
 42, 18565
 43, 18412
 44, 18614
 45, 18679
 46, 18888
 47, 18843
 48, 18630
 49, 18472
 50, 18496
