  1, 10000
  2, 13738
  3, 16074
  4, 17288
  5, 18000
  6, 18389
  7, 18965
  8, 19055
  9, 19608
 10, 19674
 11, 19768
 12, 19948
 13, 20095
 14, 20048
 15, 20241
 16, 20412
 17, 20988
 18, 20788
 19, 21513
 20, 21419
 21, 21398
 22, 21570
 23, 21759
 24, 22096
 25, 22235
 26, 22655
 27, 22495
 28, 22595
 29, 22568
 30, 22899
 31, 22816
 32, 23455
 33, 23618
 34, 23643
 35, 23928
 36, 24391
 37, 24893
 38, 25094
 39, 25319
 40, 25866
 41, 26105
 42, 26732
 43, 26928
 44, 27415
 45, 27671
 46, 28163
 47, 28328
 48, 28081
 49, 28539
 50, 28655
 51, 29000
 52, 29461
 53, 29947
 54, 30337
 55, 30526
 56, 30871
 57, 31233
 58, 31493
 59, 31653
 60, 32002
 61, 32176
 62, 32409
 63, 32750
 64, 33307
 65, 33557
 66, 34081
 67, 34493
 68, 35008
 69, 35511
 70, 35460
 71, 35686
 72, 36163
 73, 36125
 74, 36204
 75, 36147
 76, 36125
 77, 36352
 78, 36622
 79, 36622
 80, 37087
 81, 37220
 82, 37264
 83, 37426
 84, 37669
 85, 38014
 86, 38096
 87, 38538
 88, 38747
 89, 39182
 90, 39874
 91, 40073
 92, 40342
 93, 40631
 94, 41366
 95, 41700
 96, 42014
 97, 42539
 98, 42596
 99, 42432
100, 42494
